workload_file,family,hamlib_category,structural_class,matrix_type,num_qubits,matrix_dim_N,num_diagonals_D,nnz,sparsity,diagonal_sparsity,n_taylor_K,hdf5_file,hdf5_key,key_status,key_confidence,final_time,num_timesteps,dt,method,fetch_script,portal_path,hamlib_terms
O2_16_6.txt,O2,chemistry,fill-in,fill-in,16,65536,5329,4834495,1.126e-03,4.066e-02,6,O2.hdf5,ham_BK16,RESOLVED (expanded 16x16 coverage; D=5329 nnz=13959168),†,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,chemistry/electronic/standard,
bh_14_5.txt,bh,condensedmatter,fill-in,fill-in,14,16384,143,268487,1.000e-03,4.364e-03,5,BH_D-1_d-4.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-7_U-2_enc-stdbinary_d-4,RESOLVED (expanded 16x16 coverage; D=143 nnz=409600),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/bosehubbard,214
bh_16_5.txt,bh,condensedmatter,fill-in,fill-in,16,65536,167,1276483,2.972e-04,1.274e-03,5,BH_D-1_d-4.hdf5,bh_graph-1D-grid-nonpbc-qubitnodes_Lx-8_U-2_enc-stdbinary_d-4,RESOLVED (expanded 16x16 coverage; D=167 nnz=1900544),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/bosehubbard,249
tsp_16_4.txt,tsp,discreteoptimization,special,single-diagonal,16,65536,1,59180,1.378e-05,7.630e-06,4,TSP_penalties.hdf5,tsppenalty_Ncity-4_enc-unary,RESOLVED (expanded 16x16 coverage; D=1 nnz=65536),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,discreteoptimization/tsp,41
reg3_16_4.txt,reg3,binaryoptimization,diagonal,single-diagonal,16,65536,1,54622,1.272e-05,7.630e-06,4,ham-graph-regular_reg-3.hdf5,reg-3_n-16_rinst-00,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,25
reg3_18_4.txt,reg3,binaryoptimization,diagonal,single-diagonal,18,262144,1,262144,3.815e-06,1.910e-06,4,ham-graph-regular_reg-3.hdf5,reg-3_n-18_rinst-00,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,28
reg3_20_4.txt,reg3,binaryoptimization,diagonal,single-diagonal,20,1048576,1,896244,8.151e-07,4.800e-07,4,ham-graph-regular_reg-3.hdf5,reg-3_n-20_rinst-00,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,31
maxcut_16_5.txt,maxcut,binaryoptimization,diagonal,single-diagonal,16,65536,1,34596,8.055e-06,7.630e-06,5,ham-graph-complete_bipart.hdf5,complbipart-n-16_a-8_b-8,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,65
maxcut_18_5.txt,maxcut,binaryoptimization,diagonal,single-diagonal,18,262144,1,262144,3.815e-06,1.910e-06,5,ham-graph-complete_bipart.hdf5,complbipart-n-18_a-9_b-9,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,82
maxcut_20_5.txt,maxcut,binaryoptimization,diagonal,single-diagonal,20,1048576,1,595984,5.420e-07,4.800e-07,5,ham-graph-complete_bipart.hdf5,complbipart-n-20_a-10_b-10,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/maxcut/random,101
tfim_16_4.txt,tfim,condensedmatter,diagonal,single-diagonal,16,65536,1,65536,1.526e-05,7.630e-06,4,tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-0,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=1),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/tfim,15
qmaxcut_16_4.txt,qmaxcut,binaryoptimization,banded,banded,16,65536,31,557056,1.297e-04,2.365e-04,4,graph-star.hdf5,graph-n-16,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=31),†,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/qmaxcut/random,
qmaxcut_18_4.txt,qmaxcut,binaryoptimization,banded,banded,18,262144,35,2490368,3.624e-05,6.676e-05,4,graph-star.hdf5,graph-n-18,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=35),†,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/qmaxcut/random,
qmaxcut_20_4.txt,qmaxcut,binaryoptimization,banded,banded,20,1048576,39,11010048,1.001e-05,1.860e-05,4,graph-star.hdf5,graph-n-20,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=39),†,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,binaryoptimization/qmaxcut/random,
fermi_16_4.txt,fermi,condensedmatter,banded,banded,16,65536,29,503876,1.173e-04,2.213e-04,4,FH_D-1.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-8_U-2_enc-jw,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=29),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/fermihubbard,53
fermi_18_5.txt,fermi,condensedmatter,banded,banded,18,262144,33,2359296,3.433e-05,6.294e-05,5,FH_D-1.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-9_U-2_enc-jw,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=33),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/fermihubbard,60
fermi_20_5.txt,fermi,condensedmatter,banded,banded,20,1048576,37,10485760,9.537e-06,1.764e-05,5,FH_D-1.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-10_U-2_enc-jw,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=37),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/fermihubbard,67
heis_14_5.txt,heis,condensedmatter,banded,banded,14,16384,27,122880,4.578e-04,8.240e-04,5,heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-14_h-0,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=27),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/heisenberg,39
heis_16_5.txt,heis,condensedmatter,banded,banded,16,65536,31,557056,1.297e-04,2.365e-04,5,heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-0,RESOLVED (backfilled; convention key verified vs hdf5_scan; D=31),verified,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,condensedmatter/heisenberg,45
O2_20.txt,O2,chemistry,fill-in,,20,1048576,,,,,,O2.hdf5,ham_BK20,DROPPED: q20 N=1048576 qiskit sparse build exceeded 3h (>1000 Pauli terms); computationally infeasible; not converted or swept,dropped,1.2,1000,0.0012,dia-sparse,fetchham_sparse_dia.py,chemistry/electronic/standard,
max3sat_14_4.txt,max3sat,binaryoptimization,single-diagonal,single-diagonal,14,16384,1,16384,6.104e-05,3.052e-05,4,random_max3sat-hams.hdf5,max3sat_n-14_ratio-2_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,binaryoptimization/max3sat/random,
max3sat_16_4.txt,max3sat,binaryoptimization,single-diagonal,single-diagonal,16,65536,1,51921,1.209e-05,7.629e-06,4,random_max3sat-hams.hdf5,max3sat_n-16_ratio-2_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,binaryoptimization/max3sat/random,
max3sat_18_4.txt,max3sat,binaryoptimization,single-diagonal,single-diagonal,18,262144,1,262144,3.815e-06,1.907e-06,4,random_max3sat-hams.hdf5,max3sat_n-18_ratio-2_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,binaryoptimization/max3sat/random,
max3sat_20_4.txt,max3sat,binaryoptimization,single-diagonal,single-diagonal,20,1048576,1,861390,7.834e-07,4.768e-07,4,random_max3sat-hams.hdf5,max3sat_n-20_ratio-2_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,binaryoptimization/max3sat/random,
maxkcut_14_4.txt,maxkcut,discreteoptimization,single-diagonal,single-diagonal,14,16384,1,16384,6.104e-05,3.052e-05,4,ham-binary-graph-gnp_k-4.hdf5,gnp-k_4_n-7_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,discreteoptimization/maxkcut/random,
maxkcut_16_4.txt,maxkcut,discreteoptimization,single-diagonal,single-diagonal,16,65536,1,48736,1.135e-05,7.629e-06,4,ham-binary-graph-gnp_k-4.hdf5,gnp-k_4_n-8_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,discreteoptimization/maxkcut/random,
maxkcut_18_4.txt,maxkcut,discreteoptimization,single-diagonal,single-diagonal,18,262144,1,225184,3.277e-06,1.907e-06,4,ham-binary-graph-gnp_k-4.hdf5,gnp-k_4_n-9_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,discreteoptimization/maxkcut/random,
maxkcut_20_4.txt,maxkcut,discreteoptimization,single-diagonal,single-diagonal,20,1048576,1,1048576,9.537e-07,4.768e-07,4,ham-binary-graph-gnp_k-4.hdf5,gnp-k_4_n-10_rinst-00,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,discreteoptimization/maxkcut/random,
vib_14_4.txt,vib,chemistry,fill-in,fill-in,14,16384,1805,3607489,1.344e-02,5.509e-02,4,all-vib-c2h.hdf5,enc_gray_dvalues_16-16-8-8,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,chemistry/vibrational,
vib_16_4.txt,vib,chemistry,fill-in,fill-in,16,65536,2859,21275521,4.954e-03,2.181e-02,4,all-vib-bf3.hdf5,enc_gray_dvalues_8-8-8-8-4-4,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,chemistry/vibrational,
vib_18_4.txt,vib,,fill-in,fill-in,18,262144,5367,156148570,2.272e-03,1.024e-02,4,all-vib-h2cc.hdf5,enc_gray_dvalues_8-8-8-8-8-8,RESOLVED (portal-verified; family coverage q14-20),verified,,,,,fetch_from_provenance.py,chemistry/vibrational,
